,식당명,별점,구,주소,음식종류,가격대,리뷰날짜,리뷰평가,리뷰수,맛있다수,괜찮다수,별로다수
1188,콩사랑두부,,도봉구, 서울특별시 도봉구 도봉산4길 10, 기타 한식,0,2021-11-07,맛있다,2,2.0,0.0,0.0
1189,메이콴,,도봉구, 서울특별시 도봉구 마들로 664-11 현대리치타운 1F 102호, 정통 중식 / 일반 중식, 만원-2만원,2020-02-15,괜찮다,2,0.0,2.0,0.0
1190,할머니토스트,,도봉구, 서울특별시 도봉구 덕릉로 249, 기타 한식, 만원 미만,2022-02-25,맛있다,2,1.0,1.0,0.0
1191,도봉산커피,,도봉구, 서울특별시 도봉구 도봉산4가길 4, 카페 / 디저트, 만원 미만,0,0,1,0.0,1.0,0.0
1192,너구리해장국,,도봉구, 서울특별시 도봉구 시루봉로 149 도봉그린빌라, 탕 / 찌개 / 전골, 만원 미만,2019-10-16,맛있다,1,1.0,0.0,0.0
1193,피자꾼,,도봉구, 서울특별시 도봉구 노해로69길 26 창동시티월드, 기타 양식, 만원-2만원,2020-09-25,괜찮다,1,0.0,1.0,0.0
1194,바게트1089,,도봉구, 서울특별시 도봉구 도봉로 150길 8 1F, 베이커리, 만원 미만,2021-10-25,맛있다,1,1.0,0.0,0.0
1195,코지더힐,,도봉구, 서울특별시 도봉구 마들로11길 74 2F, 치킨 / 호프 / 펍, 만원 미만,2021-07-27,괜찮다,2,1.0,1.0,0.0
1196,디아망디저트,,도봉구, 서울특별시 도봉구 덕릉로 241, 카페 / 디저트, 만원 미만,2019-09-18,맛있다,1,1.0,0.0,0.0
1197,경성주막1929,,도봉구, 서울특별시 도봉구 도봉로 730, 일반 주점, 만원-2만원,2020-04-22,맛있다,1,1.0,0.0,0.0
1198,온도감,,도봉구, 서울특별시 도봉구 도당로 66-1, 카페 / 디저트, 만원 미만,2020-02-18,맛있다,1,1.0,0.0,0.0
1199,와스예떡볶이,,도봉구, 서울특별시 도봉구 도봉로147길 19, 기타 한식, 만원 미만,2021-11-02,맛있다,1,1.0,0.0,0.0
1200,스시하쿠야,4.3,노원구, 서울특별시 노원구 노원로 470 2F, 회 / 스시, 4만원 이상,2022-08-05,맛있다,8,8.0,0.0,0.0
1201,노원목고기집,4.3,노원구, 서울특별시 노원구 상계로 96, 고기 요리, 만원-2만원,2022-01-24,맛있다,32,31.0,1.0,0.0
1202,경성초밥,4.3,노원구, 서울특별시 노원구 공릉로 119-5, 회 / 스시, 만원-2만원,2022-07-08,맛있다,19,17.0,2.0,0.0
1203,당혹,4.3,노원구, 서울특별시 노원구 동일로217가길 17 104호, 카페 / 디저트, 만원 미만,2022-04-14,맛있다,11,10.0,1.0,0.0
1204,땅코참숯구이,4.2,노원구, 서울특별시 노원구 노해로85길 15-5, 고기 요리, 만원-2만원,2022-07-17,맛있다,17,15.0,2.0,0.0
1205,페페그라노,4.2,노원구, 서울특별시 노원구 공릉로32길 5, 기타 양식, 만원-2만원,2022-05-15,맛있다,14,10.0,4.0,0.0
1206,오누이,4.1,노원구, 서울특별시 노원구 동일로187길 12-47, 카페 / 디저트, 만원 미만,2022-07-30,맛있다,17,16.0,0.0,1.0
1207,우애돈카츠,4.1,노원구, 서울특별시 노원구 상계로24길 23-5 좌측상가 1F, 까스 요리, 만원-2만원,2022-04-17,맛있다,8,6.0,2.0,0.0
1208,썸머타이,4.0,노원구, 서울특별시 노원구 노해로75길 14-25, 태국 음식, 만원-2만원,2022-07-24,맛있다,36,26.0,8.0,2.0
1209,쪼매매운떡볶이,4.0,노원구, 서울특별시 노원구 공릉로 208, 기타 한식, 만원 미만,2022-06-06,맛있다,74,58.0,16.0,0.0
1210,털보고된이,4.0,노원구, 서울특별시 노원구 노해로81길 22-22, 한정식 / 백반 / 정통 한식, 만원 미만,2022-05-16,맛있다,43,35.0,6.0,2.0
1211,버거투버거,4.0,노원구, 서울특별시 노원구 공릉로62가길 50, 브런치 / 버거 / 샌드위치, 만원 미만,2022-01-25,맛있다,56,47.0,7.0,2.0
1212,생선까시,4.0,노원구, 서울특별시 노원구 동일로191가길 22, 해산물 요리, 만원-2만원,2022-01-05,맛있다,22,18.0,3.0,1.0
1213,무명칼국수,4.0,노원구, 서울특별시 노원구 석계로7길 4, 국수 / 면 요리, 만원 미만,2022-05-06,맛있다,31,24.0,7.0,0.0
1214,달콤한순간,4.0,노원구, 서울특별시 노원구 공릉로27길 10, 카페 / 디저트, 만원 미만,2022-05-30,맛있다,14,12.0,1.0,1.0
1215,또와순두부수제비,4.0,노원구, 서울특별시 노원구 노해로85길 10-8 산호빌딩, 탕 / 찌개 / 전골, 만원-2만원,2022-08-11,맛있다,12,9.0,3.0,0.0
1216,돈부리,3.9,노원구, 서울특별시 노원구 동일로 1343, 돈부리 / 일본 카레 / 벤토, 만원 미만,2022-07-30,괜찮다,96,77.0,14.0,5.0
1217,던모스,3.9,노원구, 서울특별시 노원구 공릉로27길 8 1F, 카페 / 디저트, 만원 미만,2022-08-07,맛있다,24,16.0,5.0,3.0
1218,Jolly (휴업중),3.9,노원구, 서울특별시 노원구 상계로 87 1F, 이탈리안, 2만원-3만원,2022-05-22,맛있다,30,23.0,5.0,2.0
1219,디저트카페바미,3.9,노원구, 서울특별시 노원구 상계로7길 22, 카페 / 디저트, 만원 미만,2021-09-30,맛있다,29,22.0,7.0,0.0
1220,표준커피,3.9,노원구, 서울특별시 노원구 공릉로 119-5 1F, 카페 / 디저트, 만원 미만,2022-06-12,맛있다,19,16.0,3.0,0.0
1221,돈까스먹는용만이,3.9,노원구, 서울특별시 노원구 한글비석로20길 52, 기타 한식, 만원 미만,2022-07-31,맛있다,28,15.0,9.0,4.0
1222,이너모스트,3.9,노원구, 서울특별시 노원구 동일로183길 12-14, 카페 / 디저트, 만원 미만,2022-01-03,맛있다,18,17.0,1.0,0.0
1223,브레드스팟,3.9,노원구, 서울특별시 노원구 공릉로 111-1, 베이커리, 만원 미만,2022-07-30,맛있다,15,13.0,2.0,0.0
1224,스윗레시피,3.9,노원구, 서울특별시 노원구 한글비석로24길 24 2F, 카페 / 디저트, 만원 미만,2022-02-25,맛있다,11,7.0,4.0,0.0
1225,칸텐,3.9,노원구, 서울특별시 노원구 동일로186길 53-50, 베이커리, 만원 미만,2021-07-18,맛있다,9,8.0,1.0,0.0
1226,금남커퓌,3.9,노원구, 서울특별시 노원구 노원로30길 45, 카페 / 디저트, 만원 미만,2022-07-19,괜찮다,5,4.0,1.0,0.0
1227,브렉,3.8,노원구, 서울특별시 노원구 동일로193길 14 1F, 카페 / 디저트, 만원 미만,2022-06-28,맛있다,49,36.0,12.0,1.0
1228,핏짜굽는언니,3.8,노원구, 서울특별시 노원구 동일로198길 58, 이탈리안, 만원-2만원,2021-10-14,맛있다,66,49.0,11.0,6.0
1229,쯔이코,3.8,노원구, 서울특별시 노원구 상계로1길 62-57, 돈부리 / 일본 카레 / 벤토, 만원 미만,2021-07-23,맛있다,21,14.0,6.0,1.0
1230,쉐이크쉑,3.8,노원구, 서울특별시 노원구 동일로 1414 롯데백화점노원점 1F, 브런치 / 버거 / 샌드위치, 만원-2만원,4 일 전,맛있다,10,8.0,2.0,0.0
1231,더맛나곱창,3.8,노원구, 서울특별시 노원구 동일로198길 36, 고기 요리, 만원-2만원,2021-11-09,괜찮다,28,21.0,2.0,5.0
1232,브로이하우스바네하임,3.8,노원구," 서울특별시 노원구 공릉로32길 54 고려빌딩 1, 2F", 치킨 / 호프 / 펍, 만원-2만원,2022-07-31,맛있다,17,14.0,2.0,1.0
1233,구법원,3.8,노원구, 서울특별시 노원구 동일로 1404, 기타 일식, 만원 미만,2022-06-24,괜찮다,24,16.0,6.0,2.0
1234,제일콩집,3.7,노원구, 서울특별시 노원구 동일로174길 37-8, 한정식 / 백반 / 정통 한식, 만원 미만,2022-05-23,별로,36,24.0,10.0,2.0
1235,네코정,3.7,노원구, 서울특별시 노원구 공릉로 213 동신아파트상가 2F, 돈부리 / 일본 카레 / 벤토, 만원-2만원,2022-06-23,맛있다,33,24.0,4.0,5.0
1236,제형면옥,3.7,노원구, 서울특별시 노원구 공릉로65길 16, 국수 / 면 요리, 만원 미만,2022-07-27,맛있다,15,6.0,7.0,2.0
1237,위안바오,3.7,노원구, 서울특별시 노원구 동일로 1426 103호, 딤섬 / 만두, 만원 미만,2022-02-19,괜찮다,21,13.0,6.0,2.0
1238,강강술래,3.7,노원구, 서울특별시 노원구 동일로 1628, 고기 요리, 3만원-4만원,2022-07-09,맛있다,17,12.0,3.0,2.0
