,식당명,별점,구,주소,음식종류,가격대,리뷰날짜,리뷰평가,리뷰수,맛있다수,괜찮다수,별로다수
118,신짱스시,3.7,동작구,주소 서울특별시 동작구 상도로30길 8 2F,음식 종류 회 / 스시,가격대 만원-2만원,2020-09-30,괜찮다,23,15,6,2
119,팬쿡,3.6,동작구,주소 서울특별시 동작구 동작대로27길 34,음식 종류 이탈리안,가격대 만원-2만원,2021-01-11,맛있다,27,15,9,3
120,도쿄야네,3.6,동작구,주소 서울특별시 동작구 상도로61가길 2 102호,가격대 만원-2만원,0,2021-11-23,맛있다,16,7,8,1
121,훈감동,3.6,동작구,주소 서울특별시 동작구 동작대로9길 4 1F 101호,음식 종류 돈부리 / 일본 카레 / 벤토,가격대 만원-2만원,2022-07-11,괜찮다,24,10,12,2
122,노량진할머니왕파전,3.6,동작구,주소 서울특별시 동작구 만양로 90 2F,음식 종류 한정식 / 백반 / 정통 한식,가격대 만원 미만,2022-05-04,괜찮다,14,10,3,1
123,상도곱창,3.6,동작구,주소 서울특별시 동작구 상도로 357,음식 종류 고기 요리,가격대 만원-2만원,2021-12-04,맛있다,23,13,8,2
124,내가찜한닭,3.6,동작구,주소 서울특별시 동작구 사당로 18-1,음식 종류 닭 / 오리 요리,가격대 만원 미만,2021-04-18,맛있다,14,9,4,1
125,미묘라멘,3.6,동작구,주소 서울특별시 동작구 서달로13길 4,음식 종류 라멘 / 소바 / 우동,가격대 만원 미만,2022-05-13,맛있다,15,6,8,1
126,계림원,3.6,동작구,주소 서울특별시 동작구 상도로12길 13,음식 종류 닭 / 오리 요리,가격대 만원-2만원,2022-07-05,괜찮다,14,12,2,0
127,시간을 들이다,3.5,동작구,주소 서울특별시 동작구 국사봉5길 4 1F,음식 종류 베이커리,가격대 만원 미만,2022-06-27,맛있다,41,26,11,4
128,라시에스타,3.5,동작구,주소 서울특별시 동작구 동작대로 21 양지빌딩 6F,음식 종류 이탈리안,가격대 2만원-3만원,2022-04-14,괜찮다,26,10,14,2
129,사리원,3.5,동작구,주소 서울특별시 동작구 상도로50길 2-15,음식 종류 한정식 / 백반 / 정통 한식,가격대 만원 미만,2021-07-12,맛있다,21,12,6,3
130,파니모들,3.5,동작구,주소 서울특별시 동작구 동작대로 153,음식 종류 카페 / 디저트,가격대 만원 미만,2022-06-06,괜찮다,14,12,2,0
131,토모니베이커리,3.5,동작구,주소 서울특별시 동작구 상도로 370,음식 종류 베이커리,가격대 만원 미만,2021-05-14,맛있다,22,14,6,2
132,삼삼가마솥돈까스 앤 칡불냉면,3.5,동작구,주소 서울특별시 동작구 만양로 90-1 1F,음식 종류 까스 요리,가격대 만원 미만,2022-07-18,괜찮다,9,5,3,1
133,미니자이언트,3.5,동작구,주소 서울특별시 동작구 흑석로 81-6 1F,음식 종류 스테이크 / 바베큐,가격대 만원-2만원,2020-02-13,괜찮다,12,4,8,0
134,스시준,3.4,동작구,주소 서울특별시 동작구 만양로14길 20,음식 종류 회 / 스시,가격대 만원-2만원,2022-01-28,괜찮다,19,15,4,0
135,새우네집,3.4,동작구,주소 서울특별시 동작구 등용로14길 68,음식 종류 돈부리 / 일본 카레 / 벤토,가격대 만원 미만,2022-07-04,괜찮다,15,6,7,2
136,야마레치에티오피아,3.4,동작구,주소 서울특별시 동작구 노량진로8길 52 B1,가격대 만원-2만원,주차 주차공간없음,2021-04-17,맛있다,6,2,4,0
137,장독대,3.4,동작구,주소 서울특별시 동작구 흑석로 112 중앙타워빌 3F,음식 종류 전통 주점 / 포차,가격대 만원-2만원,2021-05-07,괜찮다,37,29,8,0
138,우뇽파스타,3.4,동작구,주소 서울특별시 동작구 서달로10길 10 2F,음식 종류 이탈리안,가격대 만원 미만,2022-05-19,맛있다,34,16,15,3
139,바이슨버거,3.4,동작구,주소 서울특별시 동작구 상도로 47,음식 종류 브런치 / 버거 / 샌드위치,가격대 만원 미만,2022-06-11,별로,17,9,7,1
140,브레드제이,3.4,동작구,주소 서울특별시 동작구 상도로 192,음식 종류 베이커리,가격대 만원 미만,2022-03-03,괜찮다,13,6,6,1
141,은행골,3.4,동작구,주소 서울특별시 동작구 흑석로 107,음식 종류 회 / 스시,가격대 만원-2만원,2022-05-13,맛있다,17,8,6,3
142,쟝블랑제리,3.4,동작구,주소 서울특별시 동작구 동작대로23길 8,가격대 만원 미만,0,2022-07-31,맛있다,9,5,3,1
143,이수회관,3.4,동작구,주소 서울특별시 동작구 동작대로27가길 40,음식 종류 해산물 요리,가격대 2만원-3만원,2022-07-17,괜찮다,9,2,6,1
144,청년다방,3.3,동작구,주소 서울특별시 동작구 사당로 16,음식 종류 기타 한식,가격대 만원 미만,2021-09-07,괜찮다,33,21,11,1
145,피맥하우스,3.3,동작구,주소 서울특별시 동작구 양녕로 265-1,음식 종류 기타 양식,가격대 만원-2만원,2022-02-28,괜찮다,7,3,3,1
146,몽소,3.3,동작구,주소 서울특별시 동작구 상도로 65,음식 종류 카페 / 디저트,가격대 만원 미만,2022-07-24,괜찮다,10,3,5,2
147,라무진,3.3,동작구,주소 서울특별시 동작구 동작대로27길 16-5,음식 종류 스테이크 / 바베큐,가격대 2만원-3만원,2022-05-21,별로,7,6,0,1
148,닥터로빈,3.2,동작구,주소 서울특별시 동작구 현충로 124,음식 종류 이탈리안,가격대 2만원-3만원,2022-07-01,별로,25,11,11,3
149,카페퍼블리코,3.2,동작구,주소 서울특별시 동작구 상도로 47 헬로우빌딩,음식 종류 카페 / 디저트,가격대 만원 미만,2021-03-26,괜찮다,19,6,12,1
150,라화방,3.2,동작구,주소 서울특별시 동작구 동작대로27길 22 2F,음식 종류 기타 중식,가격대 만원 미만,2022-07-12,맛있다,11,4,6,1
151,72420,3.2,동작구,주소 서울특별시 동작구 남부순환로269길 13,음식 종류 베트남 음식,가격대 만원 미만,2021-06-06,맛있다,19,12,2,5
152,세녹,3.1,동작구,주소 서울특별시 동작구 사당로 304,음식 종류 카페 / 디저트,가격대 만원 미만,2022-03-21,괜찮다,37,11,16,10
153,달콤쌉싸롱,2.9,동작구,주소 서울특별시 동작구 노량진로12길 12-4,음식 종류 카페 / 디저트,가격대 만원 미만,2022-05-01,별로,17,6,7,4
154,부산자갈치,,동작구,주소 서울특별시 동작구 노들로 674 128호,음식 종류 해산물 요리,가격대 만원-2만원,2021-07-05,맛있다,4,4,0,0
155,마루스시,4.3,동작구,주소 서울특별시 동작구 상도로37길 79 1F,음식 종류 회 / 스시,가격대 2만원-3만원,2020-07-31,괜찮다,18,13,3,2
156,나루,4.6,동작구,주소 서울특별시 동작구 상도로 120 핸드픽트호텔 9F,음식 종류 한정식 / 백반 / 정통 한식,가격대 2만원-3만원,2020-04-06,괜찮다,10,9,1,0
157,아오키,,동작구,주소 서울특별시 동작구 사당로 300 이수자이상가 124호,음식 종류 이자카야 / 오뎅 / 꼬치,가격대 4만원 이상,2020-03-26,맛있다,14,12,1,1
158,전라도,,동작구,주소 서울특별시 동작구 노들로 674 8호기엘리베이터 옆 1F 냉동 10-12호,음식 종류 해산물 요리,가격대 2만원-3만원,0,0,0,,,
